시도명,시군구명,위도,경도
대전광역시,중구,36.3255665,127.4085274
대전광역시,중구,36.3272409,127.4064432
대전광역시,중구,36.3272427,127.406482
대전광역시,중구,36.3270808,127.4066737
대전광역시,중구,36.3125391,127.3981001
대전광역시,서구,36.3124503,127.3813887
대전광역시,서구,36.31262,127.3813906
대전광역시,중구,36.3259123,127.4115275
대전광역시,중구,36.3259004,127.4117706
대전광역시,중구,36.3256707,127.4115828
대전광역시,중구,36.3254584,127.4114309
대전광역시,중구,36.324381,127.41042
대전광역시,중구,36.3241495,127.4102694
대전광역시,중구,36.324633,127.4100821
대전광역시,중구,36.3244668,127.4098731
대전광역시,중구,36.3171156,127.4123583
대전광역시,중구,36.3169676,127.4119338
대전광역시,중구,36.3165386,127.410785
대전광역시,중구,36.3258041,127.4117722
대전광역시,중구,36.3246209,127.4102739
대전광역시,중구,36.3181976,127.3974274
대전광역시,중구,36.3182802,127.3976082
대전광역시,중구,36.3168167,127.3979264
대전광역시,중구,36.316868,127.3981005
대전광역시,중구,36.3143981,127.3989895
대전광역시,중구,36.3101382,127.388096
대전광역시,중구,36.3101168,127.3882923
대전광역시,중구,36.3184646,127.3971192
대전광역시,중구,36.3182603,127.3972318
대전광역시,중구,36.3176984,127.393932
대전광역시,중구,36.3177377,127.3940372
대전광역시,중구,36.318012,127.3919586
대전광역시,중구,36.3203284,127.3966591
대전광역시,중구,36.3218609,127.3961072
대전광역시,중구,36.3219286,127.3963038
대전광역시,중구,36.3204025,127.3968313
대전광역시,중구,36.3186688,127.3972513
대전광역시,중구,36.3187261,127.3974266
대전광역시,중구,36.3162922,127.390584
대전광역시,중구,36.3162515,127.3907436
대전광역시,중구,36.3163077,127.3908621
대전광역시,중구,36.3209198,127.3928145
대전광역시,중구,36.3212966,127.3933608
대전광역시,중구,36.3208568,127.3930519
대전광역시,중구,36.3181748,127.3917473
대전광역시,중구,36.3184017,127.3918402
대전광역시,중구,36.319045,127.392129
대전광역시,중구,36.3190791,127.3923744
대전광역시,중구,36.3171538,127.3914017
대전광역시,중구,36.3180193,127.3917296
대전광역시,중구,36.3227313,127.3987076
대전광역시,중구,36.322266,127.3962555
대전광역시,중구,36.3225638,127.3973781
대전광역시,중구,36.3224087,127.3975135
대전광역시,중구,36.3221007,127.3963605
대전광역시,중구,36.3214441,127.3932866
대전광역시,중구,36.3214669,127.39329
대전광역시,중구,36.3218668,127.3949254
대전광역시,중구,36.3221004,127.3957884
대전광역시,중구,36.3219516,127.3958821
대전광역시,중구,36.3217199,127.3949451
대전광역시,중구,36.3226495,127.388335
대전광역시,중구,36.3219854,127.3903118
대전광역시,중구,36.320987,127.392698
대전광역시,중구,36.3214519,127.3913129
대전광역시,중구,36.321612,127.3914218
대전광역시,중구,36.3211563,127.392819
대전광역시,중구,36.3229068,127.3986655
대전광역시,중구,36.323478,127.4008899
대전광역시,중구,36.3233316,127.4009743
대전광역시,중구,36.3242311,127.3952622
대전광역시,중구,36.3242964,127.3954341
대전광역시,중구,36.324224,127.3954697
대전광역시,중구,36.3240791,127.3955679
대전광역시,중구,36.3222863,127.3959528
대전광역시,중구,36.3232319,127.3958159
대전광역시,중구,36.3223591,127.3961609
대전광역시,중구,36.3218131,127.3902625
대전광역시,중구,36.3227614,127.3882429
대전광역시,서구,36.3163551,127.3787686
대전광역시,서구,36.3163755,127.3787605
대전광역시,서구,36.3162093,127.3789114
대전광역시,서구,36.3161342,127.3788677
대전광역시,서구,36.3151178,127.3792926
대전광역시,서구,36.313317,127.3800856
대전광역시,서구,36.3132643,127.3801688
대전광역시,서구,36.3228253,127.3879742
대전광역시,중구,36.3215134,127.3931031
대전광역시,중구,36.3231933,127.3937101
대전광역시,중구,36.3230822,127.3938703
대전광역시,서구,36.3130424,127.3803731
대전광역시,서구,36.3129499,127.3801276
대전광역시,서구,36.3128193,127.3799224
대전광역시,서구,36.3176083,127.3837502
대전광역시,서구,36.3175249,127.3837955
대전광역시,서구,36.313132,127.3798804
대전광역시,서구,36.3131262,127.3798541
대전광역시,서구,36.3149645,127.3791256
대전광역시,서구,36.3159819,127.3786906
대전광역시,서구,36.3160868,127.3786234
대전광역시,서구,36.3163058,127.3785407
대전광역시,서구,36.3163037,127.378521
대전광역시,서구,36.3111977,127.3848599
대전광역시,서구,36.3109794,127.3848206
대전광역시,서구,36.3113184,127.3841307
대전광역시,서구,36.3118631,127.3828477
대전광역시,서구,36.3143335,127.3825103
대전광역시,서구,36.3150423,127.3840908
대전광역시,서구,36.3148139,127.3841908
대전광역시,서구,36.3141061,127.3825998
대전광역시,서구,36.3130992,127.3803921
대전광역시,서구,36.3191795,127.3776198
대전광역시,서구,36.3192009,127.3776191
대전광역시,서구,36.3108881,127.3850448
대전광역시,서구,36.3111258,127.3852309
대전광역시,서구,36.3175203,127.3841192
대전광역시,서구,36.3174823,127.3839515
대전광역시,서구,36.3120019,127.3829001
대전광역시,중구,36.3267888,127.3910804
대전광역시,중구,36.3268149,127.3909261
대전광역시,중구,36.3268397,127.3907401
대전광역시,중구,36.3203183,127.4058183
대전광역시,중구,36.3191824,127.406284
대전광역시,중구,36.3191978,127.4062765
대전광역시,중구,36.3190709,127.4063639
대전광역시,중구,36.3184197,127.4066102
대전광역시,중구,36.317877,127.406853
대전광역시,중구,36.3256865,127.3951206
대전광역시,중구,36.3255576,127.3950406
대전광역시,중구,36.3255519,127.3947937
대전광역시,중구,36.3255318,127.3948047
대전광역시,중구,36.3255963,127.3945805
대전광역시,중구,36.3260627,127.3945984
대전광역시,중구,36.3258108,127.3944186
대전광역시,중구,36.3266721,127.3925139
대전광역시,중구,36.3264216,127.3923346
대전광역시,중구,36.3271532,127.3909432
대전광역시,중구,36.3271071,127.3911797
대전광역시,중구,36.3265797,127.3972276
대전광역시,중구,36.3273237,127.3994435
대전광역시,중구,36.3273111,127.3996391
대전광역시,중구,36.3272707,127.3997965
대전광역시,중구,36.3270314,127.4000176
대전광역시,중구,36.3268615,127.399798
대전광역시,중구,36.3268092,127.3996282
대전광역시,중구,36.3271461,127.3993592
대전광역시,중구,36.3268766,127.3994971
대전광역시,중구,36.3263038,127.3973363
대전광역시,중구,36.3260732,127.394834
대전광역시,중구,36.3259835,127.3950038
대전광역시,중구,36.3259635,127.3949933
대전광역시,중구,36.3113409,127.3941832
대전광역시,중구,36.3109886,127.392827
대전광역시,중구,36.3108461,127.3926348
대전광역시,중구,36.30933,127.3931559
대전광역시,중구,36.3094462,127.393311
대전광역시,중구,36.3070473,127.3939991
대전광역시,서구,36.3253756,127.3870449
대전광역시,서구,36.3254463,127.3868308
대전광역시,중구,36.3128511,127.3992541
대전광역시,중구,36.3123924,127.3981695
대전광역시,중구,36.3123096,127.3978835
대전광역시,중구,36.3119095,127.3963388
대전광역시,중구,36.3118698,127.3962258
