,시도명,보조시설유무
680,대전광역시,Z
681,대전광역시,Z
682,대전광역시,Z
683,대전광역시,Z
684,대전광역시,Z
685,대전광역시,Z
686,대전광역시,Z
687,대전광역시,Z
688,대전광역시,Z
689,대전광역시,Z
690,대전광역시,Z
691,대전광역시,Z
692,대전광역시,Z
693,대전광역시,Z
694,대전광역시,Z
695,대전광역시,Z
696,대전광역시,Z
697,대전광역시,Z
698,대전광역시,Z
699,대전광역시,Z
700,대전광역시,Z
701,대전광역시,Z
702,대전광역시,Z
703,대전광역시,Z
704,대전광역시,Z
705,대전광역시,Z
706,대전광역시,Z
707,대전광역시,Z
708,대전광역시,Z
709,대전광역시,Z
710,대전광역시,Z
711,대전광역시,Z
712,대전광역시,Z
713,대전광역시,Z
714,대전광역시,Z
715,대전광역시,Z
716,대전광역시,Z
717,대전광역시,Z
718,대전광역시,Z
719,대전광역시,Z
720,대전광역시,Z
721,대전광역시,Z
722,대전광역시,Z
723,대전광역시,Z
724,대전광역시,Z
725,대전광역시,Z
726,대전광역시,Z
727,대전광역시,Z
728,대전광역시,Z
729,대전광역시,Z
730,대전광역시,Z
731,대전광역시,Z
732,대전광역시,Z
733,대전광역시,Z
734,대전광역시,Z
735,대전광역시,Z
736,대전광역시,Z
737,대전광역시,Z
738,대전광역시,Z
739,대전광역시,Z
740,대전광역시,Z
741,대전광역시,Z
742,대전광역시,Z
743,대전광역시,Z
744,대전광역시,Z
745,대전광역시,Z
746,대전광역시,Z
747,대전광역시,Z
748,대전광역시,Z
749,대전광역시,Z
750,대전광역시,Z
751,대전광역시,Z
752,대전광역시,Z
753,대전광역시,Z
754,대전광역시,Z
755,대전광역시,Z
756,대전광역시,Z
757,대전광역시,Z
758,대전광역시,Z
759,대전광역시,Z
760,대전광역시,Z
761,대전광역시,Z
762,대전광역시,Z
763,대전광역시,Z
764,대전광역시,Z
765,대전광역시,Z
766,대전광역시,Z
767,대전광역시,Z
768,대전광역시,Z
769,대전광역시,Z
770,대전광역시,Z
771,대전광역시,Z
772,대전광역시,Z
773,대전광역시,Z
774,대전광역시,Z
775,대전광역시,Z
776,대전광역시,Z
777,대전광역시,Z
778,대전광역시,Z
779,대전광역시,Z
780,대전광역시,Z
781,대전광역시,Z
782,대전광역시,Z
783,대전광역시,Z
784,대전광역시,Z
785,대전광역시,Z
786,대전광역시,Z
787,대전광역시,Z
788,대전광역시,Z
789,대전광역시,Z
790,대전광역시,Z
791,대전광역시,Z
792,대전광역시,Z
793,대전광역시,Z
794,대전광역시,Z
795,대전광역시,Z
796,대전광역시,Z
797,대전광역시,Z
798,대전광역시,Z
799,대전광역시,Z
800,대전광역시,Z
801,대전광역시,Z
802,대전광역시,Z
803,대전광역시,Z
804,대전광역시,Z
805,대전광역시,Z
806,대전광역시,Z
807,대전광역시,Z
808,대전광역시,Z
809,대전광역시,Z
810,대전광역시,Z
811,대전광역시,Z
812,대전광역시,Z
813,대전광역시,Z
814,대전광역시,Z
815,대전광역시,Z
816,대전광역시,Z
817,대전광역시,Z
818,대전광역시,Z
819,대전광역시,Z
820,대전광역시,Z
821,대전광역시,Z
822,대전광역시,Z
823,대전광역시,Z
824,대전광역시,Z
825,대전광역시,Z
826,대전광역시,Z
827,대전광역시,Z
828,대전광역시,Z
829,대전광역시,Z
830,대전광역시,Z
831,대전광역시,Z
832,대전광역시,Z
833,대전광역시,Z
834,대전광역시,Z
835,대전광역시,Z
836,대전광역시,Z
837,대전광역시,Z
838,대전광역시,Z
839,대전광역시,Z
840,대전광역시,Z
841,대전광역시,Z
842,대전광역시,Z
843,대전광역시,Z
844,대전광역시,Z
845,대전광역시,Z
846,대전광역시,Z
847,대전광역시,Z
848,대전광역시,Z
849,대전광역시,Z
850,대전광역시,Z
851,대전광역시,Z
852,대전광역시,Z
853,대전광역시,Z
854,대전광역시,Z
855,대전광역시,Z
856,대전광역시,Z
857,대전광역시,Z
858,대전광역시,Z
859,대전광역시,Z
860,대전광역시,Z
861,대전광역시,Z
862,대전광역시,Z
863,대전광역시,Z
864,대전광역시,Z
865,대전광역시,Z
866,대전광역시,Z
867,대전광역시,Z
868,대전광역시,Z
869,대전광역시,Z
870,대전광역시,Z
871,대전광역시,Z
872,대전광역시,Z
873,대전광역시,Z
874,대전광역시,Z
875,대전광역시,Z
876,대전광역시,Z
877,대전광역시,Z
878,대전광역시,Z
879,대전광역시,Z
880,대전광역시,Z
881,대전광역시,Z
882,대전광역시,Z
883,대전광역시,Z
884,대전광역시,Z
885,대전광역시,Z
886,대전광역시,Z
887,대전광역시,Z
888,대전광역시,Z
889,대전광역시,Z
890,대전광역시,Z
891,대전광역시,Z
892,대전광역시,Z
893,대전광역시,Z
894,대전광역시,Z
895,대전광역시,Z
896,대전광역시,Z
897,대전광역시,Z
898,대전광역시,Z
899,대전광역시,Z
900,대전광역시,Z
901,대전광역시,Z
902,대전광역시,Z
903,대전광역시,Z
904,대전광역시,Z
905,대전광역시,Z
906,대전광역시,Z
907,대전광역시,Z
908,대전광역시,Z
909,대전광역시,Z
910,대전광역시,Z
911,대전광역시,Z
912,대전광역시,Z
913,대전광역시,Z
914,대전광역시,Z
915,대전광역시,Z
916,대전광역시,Z
917,대전광역시,Z
918,대전광역시,Z
919,대전광역시,Z
920,대전광역시,Z
921,대전광역시,Z
922,대전광역시,Z
923,대전광역시,Z
924,대전광역시,Z
925,대전광역시,Z
926,대전광역시,Z
927,대전광역시,Z
928,대전광역시,Z
929,대전광역시,Z
930,대전광역시,Z
931,대전광역시,Z
932,대전광역시,Z
933,대전광역시,Z
934,대전광역시,Z
935,대전광역시,Z
936,대전광역시,Z
937,대전광역시,Z
938,대전광역시,Z
939,대전광역시,Z
940,대전광역시,Z
941,대전광역시,Z
942,대전광역시,Z
943,대전광역시,Z
944,대전광역시,Z
945,대전광역시,Z
946,대전광역시,Z
947,대전광역시,Z
948,대전광역시,Z
949,대전광역시,Z
950,대전광역시,Z
951,대전광역시,Z
952,대전광역시,Z
953,대전광역시,Z
954,대전광역시,Z
955,대전광역시,Z
956,대전광역시,Z
957,대전광역시,Z
958,대전광역시,Z
959,대전광역시,Z
960,대전광역시,Z
961,대전광역시,Z
962,대전광역시,Z
963,대전광역시,Z
964,대전광역시,Z
965,대전광역시,Z
966,대전광역시,Z
967,대전광역시,Z
968,대전광역시,Z
969,대전광역시,Z
970,대전광역시,Z
971,대전광역시,Z
972,대전광역시,Z
973,대전광역시,Z
974,대전광역시,Z
975,대전광역시,Z
976,대전광역시,Z
977,대전광역시,Z
978,대전광역시,Z
979,대전광역시,Z
980,대전광역시,Z
981,대전광역시,Z
982,대전광역시,Z
983,대전광역시,Z
984,대전광역시,Z
985,대전광역시,Z
986,대전광역시,Z
987,대전광역시,Z
988,대전광역시,Z
989,대전광역시,Z
990,대전광역시,Z
991,대전광역시,Z
992,대전광역시,Z
993,대전광역시,Z
994,대전광역시,Z
995,대전광역시,Z
996,대전광역시,Z
997,대전광역시,Z
998,대전광역시,Z
999,대전광역시,Z
1000,대전광역시,Z
1001,대전광역시,Z
1002,대전광역시,Z
1003,대전광역시,Z
1004,대전광역시,Z
1005,대전광역시,Z
1006,대전광역시,Z
1007,대전광역시,Z
1008,대전광역시,Z
1009,대전광역시,Z
1010,대전광역시,Z
1011,대전광역시,Z
1012,대전광역시,Z
1013,대전광역시,Z
1014,대전광역시,Z
1015,대전광역시,Z
1016,대전광역시,Z
1017,대전광역시,Z
1018,대전광역시,Z
1019,대전광역시,Z
1020,대전광역시,Z
1021,대전광역시,Z
1022,대전광역시,Z
1023,대전광역시,Z
1024,대전광역시,Z
1025,대전광역시,Z
1026,대전광역시,Z
1027,대전광역시,Z
1028,대전광역시,Z
1029,대전광역시,Z
1030,대전광역시,Z
1031,대전광역시,Z
1032,대전광역시,Z
1033,대전광역시,Z
1034,대전광역시,Z
1035,대전광역시,Z
1036,대전광역시,Z
1037,대전광역시,Z
1038,대전광역시,Z
1039,대전광역시,Z
1040,대전광역시,Z
1041,대전광역시,Z
1042,대전광역시,Z
1043,대전광역시,Z
1044,대전광역시,Z
1045,대전광역시,Z
1046,대전광역시,Z
1047,대전광역시,Z
1048,대전광역시,Z
1049,대전광역시,Z
1050,대전광역시,Z
1051,대전광역시,Z
1052,대전광역시,Z
1053,대전광역시,Z
1054,대전광역시,Z
1055,대전광역시,Z
1056,대전광역시,Z
1057,대전광역시,Z
1058,대전광역시,Z
1059,대전광역시,Z
1060,대전광역시,Z
1061,대전광역시,Z
1062,대전광역시,Z
1063,대전광역시,Z
1064,대전광역시,Z
1065,대전광역시,Z
1066,대전광역시,Z
1067,대전광역시,Z
1068,대전광역시,Z
1069,대전광역시,Z
1070,대전광역시,Z
1071,대전광역시,Z
1072,대전광역시,Z
1073,대전광역시,Z
1074,대전광역시,Z
1075,대전광역시,Z
1076,대전광역시,Z
1077,대전광역시,Z
1078,대전광역시,Z
1079,대전광역시,Z
1080,대전광역시,Z
1081,대전광역시,Z
1082,대전광역시,Z
1083,대전광역시,Z
1084,대전광역시,Z
1085,대전광역시,Z
1086,대전광역시,Z
1087,대전광역시,Z
1088,대전광역시,Z
1089,대전광역시,Z
1090,대전광역시,Z
1091,대전광역시,Z
1092,대전광역시,Z
1093,대전광역시,Z
1094,대전광역시,Z
1095,대전광역시,Z
1096,대전광역시,Z
1097,대전광역시,Z
1098,대전광역시,Z
1099,대전광역시,Z
1100,대전광역시,Z
1101,대전광역시,Z
1102,대전광역시,Z
1103,대전광역시,Z
1104,대전광역시,Z
1105,대전광역시,Z
1106,대전광역시,Z
1107,대전광역시,Z
1108,대전광역시,Z
1109,대전광역시,Z
1110,대전광역시,Z
1111,대전광역시,Z
1112,대전광역시,Z
1113,대전광역시,Z
1114,대전광역시,Z
1115,대전광역시,Z
1116,대전광역시,Z
1117,대전광역시,Z
1118,대전광역시,Z
1119,대전광역시,Z
1120,대전광역시,Z
1121,대전광역시,Z
1122,대전광역시,Z
1123,대전광역시,Z
1124,대전광역시,Z
1125,대전광역시,Z
1126,대전광역시,Z
1127,대전광역시,Z
1128,대전광역시,Z
1129,대전광역시,Z
1130,대전광역시,Z
1131,대전광역시,Z
1132,대전광역시,Z
1133,대전광역시,Z
1134,대전광역시,Z
1135,대전광역시,Z
1136,대전광역시,Z
1137,대전광역시,Z
1138,대전광역시,Z
1139,대전광역시,Z
1140,대전광역시,Z
1141,대전광역시,Z
1142,대전광역시,Z
1143,대전광역시,Z
1144,대전광역시,Z
1145,대전광역시,Z
1146,대전광역시,Z
1147,대전광역시,Z
1148,대전광역시,Z
