,시도,시군구,육교명,엘리베이터,경사로,점자블럭,리프트,턱,핸드레일,위도,경도,보조시설유무
516,경기도,고양시,마두2동육교(샵3),N,Y,Y,N,N,N,37.65458633,126.7831444,TW
517,경기도,고양시,밤가시육교(샵9),N,Y,Y,N,N,N,37.66515333,126.7835571,TW
518,경기도,고양시,백마육교(샵5),N,Y,Y,N,N,N,37.65630577,126.783197,TW
519,경기도,고양시,백석도서관육교(샵1),N,Y,Y,N,N,N,37.64724262,126.792521,TW
520,경기도,고양시,백송구름다리,N,Y,Y,N,N,N,37.66893348,126.7458028,TW
521,경기도,고양시,벽제보도육교,N,Y,Y,N,N,N,37.68098252,126.8929304,TW
522,경기도,고양시,서정1보도육교,N,Y,N,N,N,N,37.61535896,126.851061,B
523,경기도,파주시,수억고육교,N,N,N,N,N,N,37.843418,126.812741,Z
524,경기도,파주시,금촌2동 육교,N,N,N,N,N,N,37.7515966,126.7766223,Z
525,경기도,의왕시,골사그네육교,N,Y,N,N,N,N,37.334824,126.980738,B
526,경기도,의왕시,갈미제1육교,N,Y,N,N,N,N,37.376677,126.974445,B
527,경기도,의왕시,갈미제2육교,N,Y,N,N,N,N,37.377178,126.971818,B
528,경기도,의왕시,갈미제4육교,N,Y,N,N,N,N,37.379418,126.974829,B
529,경기도,의왕시,의왕초교육교,N,Y,N,N,N,N,37.363331,126.967444,B
530,경기도,의왕시,청계육교,Y,N,Y,N,N,N,37.38896233,126.9975722,TW
531,경기도,의왕시,고천육교,Y,N,Y,N,N,N,37.347615,126.974206,TW
532,경기도,의왕시,오전육교,Y,N,Y,N,N,N,37.353631,126.970361,TW
533,경기도,의왕시,의왕역보도육교,Y,Y,N,N,N,N,37.321324,126.945829,TW
534,경기도,의왕시,포일숲속보도육교,Y,N,Y,N,N,N,37.40180614,126.9918992,TW
535,경기도,의왕시,등산보도육교,N,N,N,N,N,N,37.393587,127.038143,Z
536,경기도,의왕시,의왕톨게이트육교,Y,N,N,N,N,N,37.347446,126.984456,A
537,경기도,의왕시,학의천1교,N,Y,N,N,N,N,37.391084,126.986321,B
538,경기도,의왕시,학의천2교,N,Y,N,N,N,N,37.387759,126.990659,B
539,경기도,의왕시,금천보도교,N,Y,N,N,N,N,37.321961,126.945377,B
540,경기도,광명시,철산보도육교,N,N,N,N,N,N,37.4925,126.8681189,Z
541,경기도,광명시,사성보도육교,N,N,N,N,N,N,37.4947562,126.8687734,Z
542,경기도,광명시,목감천보도교,N,N,N,N,N,N,37.49042995,126.8629942,Z
543,경기도,광명시,햇무리육교,Y,N,N,N,N,N,37.48223337,126.8718214,A
544,경기도,광명시,미리내육교,Y,N,N,N,N,N,37.48743655,126.8697004,A
545,경기도,광명시,소하초교육교,Y,N,N,N,N,N,37.44967294,126.8875059,A
546,경기도,광명시,물결어린이공원육교,Y,N,N,N,N,N,37.43532981,126.8861034,A
547,경기도,광명시,생태육교(보건소),N,N,N,N,N,N,37.4539603,126.8815112,Z
548,부산광역시,북구,북부 화명소방서 앞 육교,N,N,N,N,N,N,35.22637373,129.0116866,Z
549,부산광역시,북구,금곡역 앞 육교,N,N,N,N,N,N,35.26747006,129.0169099,Z
550,부산광역시,북구,동원아파트 앞 보행가교,N,N,N,N,N,N,35.20948505,129.0306168,Z
551,부산광역시,북구,구남초등학교 앞 과선육교,N,N,N,N,N,N,35.2002945,128.9935693,Z
552,부산광역시,부산진구,가야시장 앞 육교,N,Y,N,N,N,N,35.156391,129.045113,B
553,부산광역시,부산진구,사상경계 농협 앞 육교,N,N,N,N,N,N,35.15182179,129.0167899,Z
554,부산광역시,부산진구,가야1파출소 옆 육교,N,Y,N,N,N,N,35.154691,129.037025,B
555,부산광역시,부산진구,부암초등학교 진입로변 육교,N,N,N,N,N,N,35.165809,129.047337,Z
556,부산광역시,부산진구,부산진초등학교 진입로 육교,N,N,N,N,N,N,35.150791,129.056053,Z
557,부산광역시,부산진구,진양삼거리 앞 육교,N,N,N,N,N,N,35.162393,129.048401,Z
558,부산광역시,부산진구,개금초등학교 앞 육교,Y,N,N,N,N,N,35.155012,129.021449,A
559,부산광역시,부산진구,진양 메리움 앞 육교,Y,N,N,N,N,N,35.163309,129.050132,A
560,부산광역시,부산진구,국제백양아파트 입구 육교,N,Y,N,N,N,N,35.166317,129.028541,B
561,부산광역시,부산진구,당감동일아파트 앞 육교,N,N,N,N,N,N,35.168315,129.027414,Z
562,경기도,파주시,한매육교,Y,Y,N,N,N,N,37.7294968,126.7375778,TW
563,경기도,파주시,한마루육교,Y,N,N,N,N,N,37.7294552,126.7472994,A
564,경기도,파주시,짚풀육교,Y,N,N,N,N,N,37.7295354,126.7347078,A
565,경기도,파주시,한울육교,Y,Y,N,N,N,N,37.7113496,126.7367353,TW
566,경기도,파주시,오름육교,Y,N,N,N,N,N,37.7132071,126.7539104,A
567,경기도,파주시,오솔육교,Y,Y,N,N,N,N,37.7119839,126.7592107,TW
568,경기도,파주시,한빛육교,Y,Y,N,N,N,N,37.7169547,126.7537164,TW
